;llm_as_judge_1;llm_as_judge_2;answer_text;gt_answer;question_text;type_;category;answer;usecase;without;similarity;gt_reasoning
363;1.0;1.0;3;3;How many activities are present in the whole workflow?;easy;How many activities are present in the whole workflow?;0;1;0;1.0;workflow card: total_activities: 3
364;0.5;1.0;Completed;Completed;What is the final status of the workflow?;easy;What is the final status of the workflow?;1;1;0;1.0;workflow card: status: Completed
365;0.0;0.0;"Not specified in the cards (""~"")";Unknown;What is the time to completion of the workflow?;easy;What is the time to completion of the workflow?;2;1;0;0.1025641025641026;started_at and ended_at are both ~
366;0.83;1.0;"Inputs: HealthCareMagic-100k (100,000 real patient–doctor conversations, instruction/input/output JSON triples), iCliniq-10k (10,000 real patient–doctor conversations, instruction/input/output JSON triples); Output: avaliev/chat_doctor (merged, deduplicated instruction-tuning dataset of 110,000 examples)";"inputs: HealthCareMagic-100k, iCliniq-10k; outputs: avaliev/chat_doctor";List all the parameters of the first activity of the workflow;easy;List all the parameters of the first activity of the workflow;3;1;0;0.4244372990353697;DataPreparation is the first activity
367;0.9;1.0;"Base model pretraining used H100-80GB GPU cluster (Meta's production infrastructure); fine-tuning hardware not specified.";H100-80GB GPU cluster;What hardware was used in the workflow?;easy;What hardware was used in the workflow?;4;1;0;1.0;Resource Usage: gpu field
368;0.3;0.5;"prithivMLmods (as model publisher on HuggingFace); dataset by avaliev; base model by Meta.";Unknown;Who is responsible for this workflow (person or username or entity)?;easy;Who is responsible for this workflow (person or username or entity)?;5;1;0;0.0681818181818181;user field is ~
369;0.8;1.0;1. DataPreparation 2. ModelFinetuning 3. ModelEvaluation;DataPreparation → ModelFinetuning → ModelEvaluation;What was the specific execution order of the tasks?;medium;What was the specific execution order of the tasks?;6;1;0;0.9791666666666669;activity DAG listed in order
370;0.6;1.0;"DataPreparation: Inputs: HealthCareMagic-100k, iCliniq-10k; Output: avaliev/chat_doctor. ModelFinetuning: Inputs: meta-llama/Llama-3.2-3B-Instruct, avaliev/chat_doctor; Output: Llama-Doctor-3.2-3B-Instruct. ModelEvaluation: Input: Llama-Doctor-3.2-3B-Instruct; Output: evaluation_report.";"DataPreparation: inputs=HealthCareMagic-100k/iCliniq-10k; ModelFinetuning: inputs=Llama-3.2-3B-Instruct/chat_doctor; ModelEvaluation: inputs=Llama-Doctor-3.2-3B-Instruct";List all parameters for all activites in the workflow;medium;List all parameters for all activites in the workflow;7;1;0;0.6388888888888888;activities section of workflow card
371;0.0;0.0;"Not specified in the cards (""~"")";Unknown;What was the peak RAM consumption during the workflow?;medium;What was the peak RAM consumption during the workflow?;8;1;0;0.1025641025641026;memory field is ~
372;0.3;1.0;"Base model pretraining used Meta's custom built GPU cluster (distributed); fine-tuning distribution not specified.";No;Has the model been trained in a distributed setting?;medium;Has the model been trained in a distributed setting?;9;1;0;0.0172413793103447;"fine-tuning hardware not specified; no distributed setting mentioned"
373;0.2;0.5;"Base model pretraining: 700W per H100-80GB GPU; fine-tuning power not specified.";Unknown;What was the total power consumption in Watts of the GPU(s) during the workflow?;hard;What was the total power consumption in Watts of the GPU(s) during the workflow?;10;1;0;0.1379310344827585;gpu power not reported
374;0.8;1.0;"meta-llama/Llama-3.2-3B-Instruct (pretrained base model, 3.21B parameters, BF16 safetensors, ~6.43 GB); avaliev/chat_doctor (110,000-example instruction-tuning dataset, JSON)";"meta-llama/Llama-3.2-3B-Instruct; avaliev/chat_doctor";What significant input artifacts are involved in the generation of the finetuned model?;hard;What significant input artifacts are involved in the generation of the finetuned model?;11;1;0;0.5277777777777778;Notable Inputs to ModelFinetuning activity
375;0.5;0.1;"Not specified for fine-tuning; base model pretraining: 833k GPU hours, 240 tons CO2eq (location-based), 0 tons CO2eq (market-based)";Unknown;What is the total energy use for completing the workflow?;hard;What is the total energy use for completing the workflow?;12;1;0;0.0787401574803149;energy not reported
376;0.85;1.0;meta-llama/Llama-3.2-3B-Instruct (~6.43 GB, BF16 safetensors);meta-llama/Llama-3.2-3B-Instruct (~6.43 GB);List all input files with size larger than 100Mb;easy;List all input files with size larger than 100Mb;13;1;0;0.951219512195122;size ~6.43 GB >> 100 MB
