Question_Index,Category,Question,Type,UC1_Llama Doctor 3B Finetuning,UC2_Prithvi Crop Classification Finetuning,UC3_Llama 3.2 PII Redactor LoRA,UC4_Nemotron Cascade 2 Alignment,UC5_Phishing Detection DistilBERT
0,Control Flow,What was the specific execution order of the tasks?,workflow,Data Ingestion → Preprocessing → Fine-Tuning (SFT) → Quantization → Artifact Export,Data Tiling → Backbone Loading → SFT Training → Accuracy Metrics,Data Loading → QLoRA Training → Model Evaluation → Adapter Merging,Data Preparation → SFT Training → RL/Alignment → Evaluation/QA,Data Preprocessing → Model Training → Evaluation → Export & Upload
1,Control Flow,What is the final status of the workflow?,workflow,Completed successfully. All 5 activities finished; final artifact uploaded to Hugging Face at huggingface.co/prithivMLmods/Llama-Doctor-3.2-3B-Instruct.,Completed successfully. All 4 activities finished; model weights exported to ibm-nasa-geospatial/Prithvi-100M-Multi-Temporal-Crop-Classification.,Completed successfully. All 4 activities finished; LoRA adapter exported locally as Llama-3.2-3B-PII-Redactor-LoRA.,Completed successfully. All 4 activities finished; 15B aligned model saved as nemotron_cascade_15b.nemo.,Completed successfully. All 4 activities finished; model deployed as cybersectony/phishing-email-detection-distilbert_v2.4.1 on Hugging Face.
2,Control Flow,What is the ratio of successes over all activities?,workflow,5/5 activities succeeded (100% success rate). No failed tasks recorded.,4/4 activities succeeded (100% success rate).,4/4 activities succeeded (100% success rate).,4/4 activities succeeded (100% success rate).,4/4 activities succeeded (100% success rate).
3,Control Flow,List all input files with size larger than 100Mb,data,pytorch_model-00001-of-00002.bin (~4.97 GB) and pytorch_model-00002-of-00002.bin (~1.46 GB) as output; input data estimated ~150 MB total (no single input file > 100 MB explicitly listed).,"Total input size ~15 GB across ~5,000 GeoTIFF chips; individual chip files are 224×224 px at 30m resolution, each likely a few MB, but the full dataset batch is 15 GB.",Input dataset: ~180 MB total (English subset of pii-masking-200k in JSONL). No single file explicitly exceeds 100 MB (single JSONL file).,Dataset inputs total ~1.2 GB (JSONL metadata); Nemotron-Cascade-2-SFT-Data (~147k samples) and Nemotron-Cascade-2-RL-Data (~160k samples) — no individual file explicitly stated as >100 MB.,Total dataset size: 67.15 MB (no individual input file exceeds 100 MB).
4,Control Flow,List all different file types used as input,data,".json, .csv",.tif (Cloud-Optimized GeoTIFF),.jsonl,".jsonl, .parquet",".jsonl, HuggingFace Dataset format"
5,Control Flow,List all the parameters for the whole workflow process,workflow,Python 3.11.5; experiment: llama_doctor_finetuning_v1; run ID: 1; base model: meta-llama/Llama-3.2-3B-Instruct; dataset: avaliev/chat_doctor; output format: safetensors/GGUF; quantization: GGUF 4-bit; namespace: medical_llm_alignment,Python 3.10.12; experiment: prithvi_crop_classification_finetuning; run ID: 3; base model: Prithvi-EO-1.0-100M (ViT/MAE); dataset: HLS S30 + USDA CDL (13 classes); input: 224×224×18 chips; 3 temporal steps; output: PyTorch/MMSegmentation checkpoint; namespace: ibm_nasa_geospatial,"Python 3.11.2; experiment: llama_3.2_pii_redactor_v1; run ID: 5; base model: Llama-3.2-3B-Instruct (4-bit NF4); method: QLoRA rank 16, alpha 32; dataset: ai4privacy/pii-masking-200k (English); sequence length: 320–512; batch size: 1, grad accum 16; LR: 2e-4 cosine; namespace: privacy_preservation_llm",Python 3.11.10; experiment: nemotron_cascade_alignment_v2; run ID: 2; base: Nemotron-Cascade-Base; datasets: Nemotron-Cascade-2-SFT-Data (147k) + Nemotron-Cascade-2-RL-Data (160k); stages: SFT + RLHF (DPO/PPO); global batch size 64; packed sequence length 256K; max LR 5e-5; namespace: nvidia_nemotron_cascade,"Python 3.10.12; experiment: phishing_detection_distilbert_v2; run ID: 4; base model: distilbert-base-uncased; dataset: cybersectony/PhishingEmailDetectionv2.0 (200k samples, 4 classes); epochs: 3; truncation: 512 tokens; framework: Hugging Face Trainer API; namespace: cybersecurity_llm_alignment"
6,Control Flow,List all the parameters for the whole workflow process,workflow,Python 3.11.5; experiment: llama_doctor_finetuning_v1; run ID: 1; base model: meta-llama/Llama-3.2-3B-Instruct; dataset: avaliev/chat_doctor; output format: safetensors/GGUF; quantization: GGUF 4-bit; namespace: medical_llm_alignment,Python 3.10.12; experiment: prithvi_crop_classification_finetuning; run ID: 3; base model: Prithvi-EO-1.0-100M (ViT/MAE); dataset: HLS S30 + USDA CDL (13 classes); input: 224×224×18 chips; 3 temporal steps; output: PyTorch/MMSegmentation checkpoint; namespace: ibm_nasa_geospatial,"Python 3.11.2; experiment: llama_3.2_pii_redactor_v1; run ID: 5; base model: Llama-3.2-3B-Instruct (4-bit NF4); method: QLoRA rank 16, alpha 32; dataset: ai4privacy/pii-masking-200k (English); sequence length: 320–512; batch size: 1, grad accum 16; LR: 2e-4 cosine; namespace: privacy_preservation_llm",Python 3.11.10; experiment: nemotron_cascade_alignment_v2; run ID: 2; base: Nemotron-Cascade-Base; datasets: Nemotron-Cascade-2-SFT-Data (147k) + Nemotron-Cascade-2-RL-Data (160k); stages: SFT + RLHF (DPO/PPO); global batch size 64; packed sequence length 256K; max LR 5e-5; namespace: nvidia_nemotron_cascade,"Python 3.10.12; experiment: phishing_detection_distilbert_v2; run ID: 4; base model: distilbert-base-uncased; dataset: cybersectony/PhishingEmailDetectionv2.0 (200k samples, 4 classes); epochs: 3; truncation: 512 tokens; framework: Hugging Face Trainer API; namespace: cybersecurity_llm_alignment"
7,Telemetry,What was the peak RAM consumption during the workflow?,workflow,Peak RAM: 128.0 GB (during Fine-Tuning activity).,Peak RAM: 128.0 GB (during Data Stacking activity).,Peak RAM: 16.0 GB (during QLoRA Training activity).,Peak RAM: 512.0 GB (during both SFT Training and RL Alignment activities).,Peak RAM: 32.0 GB (during Fine-Tuning activity).
8,Telemetry,What was the real-time power consumption (in Watts) of the GPU during the workflow?,workflow,Peak GPU power: 350.0 W (Fine-Tuning); 150.0 W (Quantization).,Peak GPU power: 250.0 W (SFT Training); 0.0 W (Data Stacking).,Peak GPU power: 280.0 W (QLoRA Training); 120.0 W (Inference Eval).,"Peak GPU power: 700.0 W (both SFT Training and RL Alignment, H100 GPUs).",Peak GPU power: 180.0 W (Fine-Tuning); 50.0 W (Evaluation).
9,Control Flow,How many model parameters (weights) does the model have?,model,3.21 billion parameters (Llama 3.2 3B).,Approximately 100 million parameters (Prithvi-EO-1.0-100M).,3.21 billion parameters (Llama 3.2 3B base); the LoRA adapter adds ~50 MB of trainable weights (rank 16).,30.87 billion total parameters; ~3 billion active parameters per token (MoE architecture).,DistilBERT has approximately 66 million parameters.
