q,a,reasoning
How many activities are present in the whole workflow?,1 (phish-classifier-training / sequence-classification-finetuning),5_workflow.md §5 Execution Record: one block
What is the final status of the workflow?,Completed,5_workflow.md §1 Execution Status
What is the time to completion of the workflow?,4h 30m 00s,5_workflow.md §1 Execution Duration
List all the parameters of the first activity of the workflow,"Epochs: 3, Max Length: 512, Task: Multilabel",5_workflow.md §5 Block[1] Parameters
What hardware was used in the workflow?,1x NVIDIA V100 (16GB),5_workflow.md §2 Compute Hardware
Who is responsible for this workflow (person or username or entity)?,Tony / CyberSec AI (Lead Practitioner); cybersectony (Execution Triggerer),5_workflow.md §3 Actors
What was the specific execution order of the tasks?,"Single activity: phish-classifier-training, 10:15 to 14:15",5_workflow.md §5 Block[1] timestamps
List all the parameters for the whole workflow process,"Epochs: 3, Max Length: 512, Task: Multilabel",5_workflow.md §5 Block[1] Parameters (only one activity)
What was the peak RAM consumption during the workflow?,Not reported,5_workflow.md — no RAM field
Has the model been trained in a distributed setting?,No — single V100 on Azure ML,5_workflow.md §2 Compute Hardware: 1x NVIDIA V100
What was the real-time power consumption (in Watts) of the GPU during the workflow?,Not reported,5_workflow.md — no power field
Which inputs influenced the output in the workflow?,base-model (distilbert-base-uncased) and phishing-dataset (PhishingEmailDetectionv2.0),5_workflow.md §5 Block[1] Inputs Consumed
What is the total energy use for completing the workflow?,Not reported,5_workflow.md — no energy field
List all input files with size larger than 100Mb,"train split: ~47 MB, validation: ~5 MB, test: ~14 MB — none exceed 100 MB",5_datacard.md dataset_info splits: num_bytes
List all different file types used as input,"Parquet (HuggingFace Dataset format, two columns: content and label)",5_datacard.md Structure Features; configs path: data/train-*
Identify the largest output,PyTorch weights for finetuned DistilBERT (phishing-email-detection-distilbert_v2.4.1) — exact size not reported,5_workflow.md §6 Content Summary
What is the science domain of the dataset?,Cybersecurity / Phishing Detection,5_datacard.md title: Phishing Email Detection Dataset
Does the dataset have a predetermined train-test split?,"Yes — train (120,000), validation (20,000), test (60,000)",5_datacard.md dataset_info splits
How many samples are present in the whole dataset?,"200,000 total (120k train + 20k validation + 60k test)","5_datacard.md Quick Facts: Total Samples: 200,000"
What is the data type of the ground truth (if present)?,"Integer class label (0–3: legitimate_email, phishing_email, legitimate_url, phishing_url)",5_datacard.md Features: labels dtype int64; Label Distribution
What is the specific task for which the dataset was created?,Multi-class classification of emails and URLs as legitimate or phishing,5_datacard.md Quick Facts: Task Type: Multi-class Classification
What is the size in byte of one sample?,"~335 bytes average (67,150,692 total bytes / 200,000 samples)","5_datacard.md dataset_info: dataset_size 67150692, total 200k samples"
What is the total size of the whole dataset?,"~67.15 MB (67,150,692 bytes)",5_datacard.md dataset_info: dataset_size: 67150692
What are the designed uses for this model?,Multilabel classification of emails and URLs as safe or phishing,5_modelcard_finetuned.md Model Overview
How many epochs have been used in the final training?,3,5_modelcard_finetuned.md Key Specifications: Training Duration: 3 epochs; 5_workflow.md §5 Parameters
How many model parameters (weights) does the model have?,~66M (DistilBERT base has ~66M parameters),5_modelcard_pretrained.md — DistilBERT is 66M params by architecture
What is the science domain of the model?,Cybersecurity / NLP,5_modelcard_finetuned.md: phishing detection task
What is the task solved by this model (regression or classification or forecast etc.)?,Multi-class / multilabel classification,5_modelcard_finetuned.md Key Specifications: Task: Multilabel Classification
What is the intended use of this model?,Detect phishing emails and URLs by classifying them into 4 categories (legitimate/phishing email/URL),5_modelcard_finetuned.md Model Overview
What is the size of the final model in Mb?,Not reported,5_modelcard_finetuned.md — no model size field; 5_workflow.md §6 — no size
What technique was used to train the model?,Supervised Fine-Tuning (SFT) using Hugging Face Trainer API,5_workflow.md §5 Block[1] Activity Type; 5_modelcard_finetuned.md Key Specifications: Fine-tuning Framework: Hugging Face Trainer API
What is the claimed performance of this model?,"Accuracy: 99.58%, F1: 99.579, Precision: 99.583, Recall: 99.58",5_modelcard_finetuned.md Performance Metrics; 5_workflow.md §8 Quality Metrics
Are the performance shown in the pretrained version improved in the finetuning?,Pretrained DistilBERT achieves GLUE scores (e.g. 91.3 SST-2); finetuned achieves 99.58% accuracy on phishing — significant improvement for this task,5_modelcard_pretrained.md Evaluation results GLUE table; 5_modelcard_finetuned.md Performance Metrics
